subject,horizon,weighting,decile,nObs,meanRet,medianRet
momentum_12_1,1,EW,1,18731,0.0407,-0.0274
momentum_12_1,1,EW,2,18530,0.043,0
momentum_12_1,1,EW,3,18585,0.0549,0.0146
momentum_12_1,1,EW,4,18532,0.0629,0.0281
momentum_12_1,1,EW,5,18179,0.0664,0.0336
momentum_12_1,1,EW,6,18624,0.0478,0.0143
momentum_12_1,1,EW,7,18579,0.086,0.0427
momentum_12_1,1,EW,8,18538,0.0999,0.0503
momentum_12_1,1,EW,9,18577,0.0801,0.0414
momentum_12_1,1,EW,10,17748,0.1185,0.0443
momentum_12_1,1,VW,1,18731,0.0825,-0.0274
momentum_12_1,1,VW,2,18530,0.0375,0
momentum_12_1,1,VW,3,18585,0.042,0.0146
momentum_12_1,1,VW,4,18532,0.0426,0.0281
momentum_12_1,1,VW,5,18179,0.0441,0.0336
momentum_12_1,1,VW,6,18624,0.0222,0.0143
momentum_12_1,1,VW,7,18579,0.0682,0.0427
momentum_12_1,1,VW,8,18538,0.0864,0.0503
momentum_12_1,1,VW,9,18577,0.0677,0.0414
momentum_12_1,1,VW,10,17748,0.1123,0.0443
momentum_12_1,3,EW,1,18697,0.1187,-0.0685
momentum_12_1,3,EW,2,18496,0.1406,0.0134
momentum_12_1,3,EW,3,18550,0.1723,0.1221
momentum_12_1,3,EW,4,18499,0.2076,0.1092
momentum_12_1,3,EW,5,18138,0.1641,0.11
momentum_12_1,3,EW,6,18592,0.1834,0.1095
momentum_12_1,3,EW,7,18543,0.2417,0.1557
momentum_12_1,3,EW,8,18506,0.2895,0.1919
momentum_12_1,3,EW,9,18540,0.2506,0.1371
momentum_12_1,3,EW,10,17712,0.3636,0.202
momentum_12_1,3,VW,1,18697,0.1851,-0.0685
momentum_12_1,3,VW,2,18496,0.1352,0.0134
momentum_12_1,3,VW,3,18550,0.1439,0.1221
momentum_12_1,3,VW,4,18499,0.1474,0.1092
momentum_12_1,3,VW,5,18138,0.0808,0.11
momentum_12_1,3,VW,6,18592,0.1157,0.1095
momentum_12_1,3,VW,7,18543,0.1582,0.1557
momentum_12_1,3,VW,8,18506,0.2817,0.1919
momentum_12_1,3,VW,9,18540,0.1943,0.1371
momentum_12_1,3,VW,10,17712,0.3451,0.202
momentum_12_1,5,EW,1,18663,0.1892,-0.0266
momentum_12_1,5,EW,2,18462,0.2407,0.0858
momentum_12_1,5,EW,3,18514,0.2865,0.1998
momentum_12_1,5,EW,4,18467,0.35,0.2487
momentum_12_1,5,EW,5,18098,0.2908,0.2065
momentum_12_1,5,EW,6,18558,0.3026,0.214
momentum_12_1,5,EW,7,18509,0.4047,0.2775
momentum_12_1,5,EW,8,18472,0.4872,0.3411
momentum_12_1,5,EW,9,18504,0.4177,0.2961
momentum_12_1,5,EW,10,17676,0.5969,0.3476
momentum_12_1,5,VW,1,18663,0.2768,-0.0266
momentum_12_1,5,VW,2,18462,0.2191,0.0858
momentum_12_1,5,VW,3,18514,0.2462,0.1998
momentum_12_1,5,VW,4,18467,0.253,0.2487
momentum_12_1,5,VW,5,18098,0.1486,0.2065
momentum_12_1,5,VW,6,18558,0.1923,0.214
momentum_12_1,5,VW,7,18509,0.2606,0.2775
momentum_12_1,5,VW,8,18472,0.4556,0.3411
momentum_12_1,5,VW,9,18504,0.3269,0.2961
momentum_12_1,5,VW,10,17676,0.58,0.3476
momentum_12_1,10,EW,1,18578,0.3777,0.1248
momentum_12_1,10,EW,2,18377,0.471,0.2614
momentum_12_1,10,EW,3,18424,0.623,0.4561
momentum_12_1,10,EW,4,18387,0.7073,0.5204
momentum_12_1,10,EW,5,17998,0.5894,0.3276
momentum_12_1,10,EW,6,18473,0.6222,0.4386
momentum_12_1,10,EW,7,18424,0.8252,0.5939
momentum_12_1,10,EW,8,18387,0.9429,0.7059
momentum_12_1,10,EW,9,18414,0.8496,0.5319
momentum_12_1,10,EW,10,17586,1.1856,0.6585
momentum_12_1,10,VW,1,18578,0.4824,0.1248
momentum_12_1,10,VW,2,18377,0.4441,0.2614
momentum_12_1,10,VW,3,18424,0.4961,0.4561
momentum_12_1,10,VW,4,18387,0.5148,0.5204
momentum_12_1,10,VW,5,17998,0.3397,0.3276
momentum_12_1,10,VW,6,18473,0.3621,0.4386
momentum_12_1,10,VW,7,18424,0.5622,0.5939
momentum_12_1,10,VW,8,18387,0.7743,0.7059
momentum_12_1,10,VW,9,18414,0.6634,0.5319
momentum_12_1,10,VW,10,17586,1.1617,0.6585
momentum_12_1,21,EW,1,18391,0.8167,0.3702
momentum_12_1,21,EW,2,18190,1.0025,0.6517
momentum_12_1,21,EW,3,18226,1.4225,1.0097
momentum_12_1,21,EW,4,18205,1.5799,1.1329
momentum_12_1,21,EW,5,17792,1.329,0.8734
momentum_12_1,21,EW,6,18278,1.3628,0.8916
momentum_12_1,21,EW,7,18239,1.8924,1.2433
momentum_12_1,21,EW,8,18192,1.9313,1.3671
momentum_12_1,21,EW,9,18224,1.8325,1.203
momentum_12_1,21,EW,10,17394,2.5708,1.4516
momentum_12_1,21,VW,1,18391,0.8432,0.3702
momentum_12_1,21,VW,2,18190,1.0488,0.6517
momentum_12_1,21,VW,3,18226,1.1,1.0097
momentum_12_1,21,VW,4,18205,1.1684,1.1329
momentum_12_1,21,VW,5,17792,0.8352,0.8734
momentum_12_1,21,VW,6,18278,0.7225,0.8916
momentum_12_1,21,VW,7,18239,0.9957,1.2433
momentum_12_1,21,VW,8,18192,1.2966,1.3671
momentum_12_1,21,VW,9,18224,1.4702,1.203
momentum_12_1,21,VW,10,17394,2.1595,1.4516
momentum_12_1,63,EW,1,17677,3.3063,1.3072
momentum_12_1,63,EW,2,17476,3.4143,2.1109
momentum_12_1,63,EW,3,17470,4.347,2.9831
momentum_12_1,63,EW,4,17432,4.2273,2.9223
momentum_12_1,63,EW,5,17154,3.8432,2.3778
momentum_12_1,63,EW,6,17522,4.6106,3.1442
momentum_12_1,63,EW,7,17466,5.6635,3.8517
momentum_12_1,63,EW,8,17436,5.9929,4.2479
momentum_12_1,63,EW,9,17510,6.0426,3.5864
momentum_12_1,63,EW,10,16680,8.1928,3.9378
momentum_12_1,63,VW,1,17677,3.4624,1.3072
momentum_12_1,63,VW,2,17476,3.2156,2.1109
momentum_12_1,63,VW,3,17470,3.6158,2.9831
momentum_12_1,63,VW,4,17432,3.5385,2.9223
momentum_12_1,63,VW,5,17154,2.399,2.3778
momentum_12_1,63,VW,6,17522,2.293,3.1442
momentum_12_1,63,VW,7,17466,2.5272,3.8517
momentum_12_1,63,VW,8,17436,3.4902,4.2479
momentum_12_1,63,VW,9,17510,3.2217,3.5864
momentum_12_1,63,VW,10,16680,5.5077,3.9378
reversal_5d,1,EW,1,23213,0.0976,0.0174
reversal_5d,1,EW,2,22866,0.1099,0.0296
reversal_5d,1,EW,3,22826,0.0859,0.0336
reversal_5d,1,EW,4,22760,0.0891,0.0334
reversal_5d,1,EW,5,22728,0.0891,0.0445
reversal_5d,1,EW,6,22907,0.0624,0.0159
reversal_5d,1,EW,7,22797,0.0683,0.0276
reversal_5d,1,EW,8,22789,0.0569,0.0144
reversal_5d,1,EW,9,22903,0.0774,0.0143
reversal_5d,1,EW,10,22271,0.0694,-0.0118
reversal_5d,1,VW,1,23213,0.0889,0.0174
reversal_5d,1,VW,2,22866,0.113,0.0296
reversal_5d,1,VW,3,22826,0.0593,0.0336
reversal_5d,1,VW,4,22760,0.0799,0.0334
reversal_5d,1,VW,5,22728,0.0838,0.0445
reversal_5d,1,VW,6,22907,0.0417,0.0159
reversal_5d,1,VW,7,22797,0.04,0.0276
reversal_5d,1,VW,8,22789,0.0472,0.0144
reversal_5d,1,VW,9,22903,0.0611,0.0143
reversal_5d,1,VW,10,22271,0.0696,-0.0118
reversal_5d,3,EW,1,23177,0.2459,0.1017
reversal_5d,3,EW,2,22832,0.3285,0.1739
reversal_5d,3,EW,3,22790,0.2691,0.1466
reversal_5d,3,EW,4,22728,0.2249,0.1174
reversal_5d,3,EW,5,22692,0.2708,0.1369
reversal_5d,3,EW,6,22871,0.2275,0.142
reversal_5d,3,EW,7,22765,0.2618,0.1433
reversal_5d,3,EW,8,22753,0.2237,0.1105
reversal_5d,3,EW,9,22869,0.1749,0.0521
reversal_5d,3,EW,10,22229,0.2147,0.0051
reversal_5d,3,VW,1,23177,0.1868,0.1017
reversal_5d,3,VW,2,22832,0.2792,0.1739
reversal_5d,3,VW,3,22790,0.2368,0.1466
reversal_5d,3,VW,4,22728,0.2231,0.1174
reversal_5d,3,VW,5,22692,0.2342,0.1369
reversal_5d,3,VW,6,22871,0.1619,0.142
reversal_5d,3,VW,7,22765,0.2359,0.1433
reversal_5d,3,VW,8,22753,0.1499,0.1105
reversal_5d,3,VW,9,22869,0.1209,0.0521
reversal_5d,3,VW,10,22229,0.1726,0.0051
reversal_5d,5,EW,1,23141,0.4312,0.2311
reversal_5d,5,EW,2,22798,0.5136,0.3143
reversal_5d,5,EW,3,22754,0.4278,0.2414
reversal_5d,5,EW,4,22696,0.399,0.2184
reversal_5d,5,EW,5,22656,0.4251,0.2824
reversal_5d,5,EW,6,22835,0.3624,0.2704
reversal_5d,5,EW,7,22733,0.4265,0.2589
reversal_5d,5,EW,8,22717,0.353,0.1953
reversal_5d,5,EW,9,22835,0.3174,0.1611
reversal_5d,5,EW,10,22187,0.4112,0.1298
reversal_5d,5,VW,1,23141,0.3677,0.2311
reversal_5d,5,VW,2,22798,0.4344,0.3143
reversal_5d,5,VW,3,22754,0.3995,0.2414
reversal_5d,5,VW,4,22696,0.3952,0.2184
reversal_5d,5,VW,5,22656,0.3362,0.2824
reversal_5d,5,VW,6,22835,0.2433,0.2704
reversal_5d,5,VW,7,22733,0.3752,0.2589
reversal_5d,5,VW,8,22717,0.2579,0.1953
reversal_5d,5,VW,9,22835,0.1903,0.1611
reversal_5d,5,VW,10,22187,0.2813,0.1298
reversal_5d,10,EW,1,23046,0.7196,0.2876
reversal_5d,10,EW,2,22713,0.9328,0.5354
reversal_5d,10,EW,3,22664,0.831,0.4926
reversal_5d,10,EW,4,22616,0.7347,0.4264
reversal_5d,10,EW,5,22566,0.796,0.4399
reversal_5d,10,EW,6,22745,0.7766,0.4906
reversal_5d,10,EW,7,22653,0.8525,0.6005
reversal_5d,10,EW,8,22627,0.7742,0.4915
reversal_5d,10,EW,9,22750,0.8028,0.4942
reversal_5d,10,EW,10,22087,0.8662,0.4005
reversal_5d,10,VW,1,23046,0.4607,0.2876
reversal_5d,10,VW,2,22713,0.7447,0.5354
reversal_5d,10,VW,3,22664,0.6978,0.4926
reversal_5d,10,VW,4,22616,0.6131,0.4264
reversal_5d,10,VW,5,22566,0.5984,0.4399
reversal_5d,10,VW,6,22745,0.5295,0.4906
reversal_5d,10,VW,7,22653,0.731,0.6005
reversal_5d,10,VW,8,22627,0.6973,0.4915
reversal_5d,10,VW,9,22750,0.6032,0.4942
reversal_5d,10,VW,10,22087,0.551,0.4005
reversal_5d,21,EW,1,22837,1.6525,0.8773
reversal_5d,21,EW,2,22526,1.7761,1.0653
reversal_5d,21,EW,3,22466,1.6446,0.9004
reversal_5d,21,EW,4,22440,1.5824,0.96
reversal_5d,21,EW,5,22368,1.5945,0.9725
reversal_5d,21,EW,6,22553,1.567,0.9606
reversal_5d,21,EW,7,22477,1.7397,1.148
reversal_5d,21,EW,8,22429,1.6957,1.088
reversal_5d,21,EW,9,22563,1.7998,1.0699
reversal_5d,21,EW,10,21861,1.9694,1.1025
reversal_5d,21,VW,1,22837,0.9309,0.8773
reversal_5d,21,VW,2,22526,1.3674,1.0653
reversal_5d,21,VW,3,22466,1.2243,0.9004
reversal_5d,21,VW,4,22440,1.1614,0.96
reversal_5d,21,VW,5,22368,1.1043,0.9725
reversal_5d,21,VW,6,22553,1.0368,0.9606
reversal_5d,21,VW,7,22477,1.2829,1.148
reversal_5d,21,VW,8,22429,1.2983,1.088
reversal_5d,21,VW,9,22563,1.3594,1.0699
reversal_5d,21,VW,10,21861,1.3957,1.1025
reversal_5d,63,EW,1,22034,5.3342,2.8146
reversal_5d,63,EW,2,21781,5.4323,3.0759
reversal_5d,63,EW,3,21772,5.2015,2.9451
reversal_5d,63,EW,4,21706,5.1023,3.0427
reversal_5d,63,EW,5,21596,5.2211,3.1591
reversal_5d,63,EW,6,21808,5.1013,3.0536
reversal_5d,63,EW,7,21774,4.9171,2.9231
reversal_5d,63,EW,8,21704,5.0823,3.0726
reversal_5d,63,EW,9,21849,5.4231,3.1167
reversal_5d,63,EW,10,21062,6.3524,3.4063
reversal_5d,63,VW,1,22034,3.9079,2.8146
reversal_5d,63,VW,2,21781,4.1019,3.0759
reversal_5d,63,VW,3,21772,3.646,2.9451
reversal_5d,63,VW,4,21706,3.4534,3.0427
reversal_5d,63,VW,5,21596,3.6637,3.1591
reversal_5d,63,VW,6,21808,3.5296,3.0536
reversal_5d,63,VW,7,21774,3.4047,2.9231
reversal_5d,63,VW,8,21704,3.496,3.0726
reversal_5d,63,VW,9,21849,3.7334,3.1167
reversal_5d,63,VW,10,21062,3.9517,3.4063
